DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM             0.195               0.120             0.076         3.957
RESSURF            0.167               0.103             0.064         6.942
SOLIN            340.249             340.249             0.000         0.000
AAM            1.803e+26           1.803e+26         4.433e+22      -999.000
CHI_200           -0.003               0.001            -0.004         0.849
CLDHGH            44.402              43.823             0.579         3.392
CLDLOW            31.967              29.342             2.625         6.806
CLDMED            23.437              19.655             3.783         5.098
CLDTOT            62.928              60.219             2.709         4.711
EKE_850           37.040              36.426             0.613         3.313
EP             4.532e-04          -3.799e-05         4.912e-04         0.864
FLNS              54.960              50.401             4.559         6.947
FLNSC             74.940              66.895             8.045         8.952
FLNT             254.364             258.673            -4.310         7.203
FLNTC            277.709             280.719            -3.010         6.072
FSDS             194.970             195.251            -0.281         7.613
FSDSC            241.844             237.976             3.868         4.232
FSNS             177.125             178.596            -1.471         6.825
FSNSC            220.138             217.865             2.272         6.555
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       186.823             186.692             0.131        11.184
FSNT             254.559             258.793            -4.234         7.541
FSNTC            294.639             295.863            -1.224         6.758
ICEAREA            1.456               0.060             1.396         0.175
LHFLX            100.344             106.815            -6.471        10.448
LWCF              23.345              22.045             1.300         3.417
PRECT              3.451               3.682            -0.231         0.840
PRECT_LAND         2.551               2.846            -0.295         0.679
PRECT_OCEAN        3.791               3.994            -0.204         0.894
PREH2O            37.309              45.751            -8.442         9.389
PREH2O_OCEAN      40.374              48.759            -8.385         9.496
PSI_200           -0.015              -0.011            -0.004         0.270
PS               986.539             987.366            -0.828        21.786
PSL             1007.626            1004.389             3.237         3.826
QFLX               3.451               3.682            -0.231         0.315
SHFLX             21.655              21.277             0.378         4.606
SNOWHLND          69.725              30.087            39.638       188.197
SST               24.058              26.677            -2.619         2.733
STRESS_MAG         0.061               0.055             0.005         0.016
SWCF             -40.080             -37.070            -3.010         6.613
T_850            287.357             290.394            -3.037         3.320
TGCLDLWP          57.417              54.578             2.839        11.245
TGCLDIWP          11.859              11.397             0.462         2.254
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.103               0.112            -0.010         0.017
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           294.342             297.593            -3.251         4.089
TS               295.632             298.832            -3.201         4.157
TS_LAND          292.202             296.876            -4.674         6.581
U_200             18.488              18.222             0.266         1.839
VT_850             0.271               0.366            -0.095         1.177
Z3_500            57.650              58.137            -0.487         0.511
