DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM             7.589               9.576            -1.987        10.687
RESSURF            6.325               8.057            -1.732        12.871
SOLIN            350.310             350.310             0.000         0.000
AAM            1.891e+26           1.861e+26         3.017e+24      -999.000
CHI_200           -0.003              -0.001            -0.002         1.800
CLDHGH            45.385              45.361             0.023         6.216
CLDLOW            32.592              29.806             2.786         7.703
CLDMED            24.738              21.376             3.362         5.987
CLDTOT            64.078              61.665             2.414         6.726
EKE_850           33.468              31.366             2.102         4.652
EP             8.732e-03           1.691e-02        -8.174e-03         1.372
FLNS              54.972              50.906             4.066         7.479
FLNSC             75.725              68.427             7.298         8.781
FLNT             251.386             254.898            -3.512         9.853
FLNTC            274.565             277.376            -2.811         6.741
FSDS             200.461             200.577            -0.116        15.452
FSDSC            250.818             246.817             4.001         6.228
FSNS             180.416             183.104            -2.688        13.732
FSNSC            226.733             225.687             1.046        15.976
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       144.711             149.870            -5.159        30.325
FSNT             258.975             264.473            -5.498        15.283
FSNTC            301.798             304.395            -2.597        17.836
ICEAREA            0.535               0.021             0.514         0.149
LHFLX             99.523             105.131            -5.608        14.701
LWCF              23.179              22.478             0.701         5.903
PRECT              3.411               3.602            -0.191         1.300
PRECT_LAND         2.391               2.611            -0.220         1.142
PRECT_OCEAN        3.799               3.973            -0.175         1.353
PREH2O            35.121              42.855            -7.733         9.129
PREH2O_OCEAN      39.536              47.805            -8.269         9.732
PSI_200            0.002               0.005            -0.003         0.488
PS               986.324             987.082            -0.758        21.384
PSL             1007.638            1004.303             3.335         4.135
QFLX               3.420               3.619            -0.199         0.421
SHFLX             19.595              19.011             0.585         5.974
SNOWHLND          70.846              30.251            40.595       190.553
SST               23.987              26.695            -2.708         2.864
STRESS_MAG         0.061               0.054             0.007         0.019
SWCF             -42.823             -39.922            -2.901        12.116
T_850            286.084             289.146            -3.061         3.310
TGCLDLWP          58.486              55.628             2.858        14.743
TGCLDIWP          11.157              11.199            -0.042         4.481
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.099               0.103            -0.003         0.023
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           292.806             296.107            -3.301         4.220
TS               294.080             297.371            -3.291         4.330
TS_LAND          286.069             290.908            -4.839         6.875
U_200             19.651              19.163             0.488         3.564
VT_850            -0.476              -0.294            -0.182         1.779
Z3_500            57.408              57.867            -0.459         0.518
