DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            -9.783             -10.643             0.860         6.652
RESSURF          -10.971             -11.845             0.875        11.183
SOLIN            330.371             330.371             0.000         0.000
AAM            1.596e+26           1.590e+26         5.676e+23      -999.000
CHI_200           -0.003               0.004            -0.007         1.991
CLDHGH            43.582              42.565             1.017         4.363
CLDLOW            32.377              29.652             2.725         7.425
CLDMED            21.723              17.849             3.874         5.920
CLDTOT            62.474              59.465             3.009         5.438
EKE_850           33.890              34.628            -0.738         4.641
EP             8.915e-03           7.720e-03         1.195e-03         1.000
FLNS              53.460              48.521             4.938         7.726
FLNSC             72.688              63.928             8.760         9.972
FLNT             257.185             261.816            -4.631         7.356
FLNTC            281.011             283.949            -2.939         5.971
FSDS             185.804             186.726            -0.922         7.307
FSDSC            231.928             228.173             3.755         4.272
FSNS             169.856             170.874            -1.018         6.671
FSNSC            212.314             209.031             3.283         3.921
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       228.431             224.555             3.876         4.751
FSNT             247.402             251.173            -3.771         7.012
FSNTC            287.358             287.550            -0.192         1.455
ICEAREA            1.862               0.079             1.783         0.325
LHFLX            103.282             110.279            -6.998        12.812
LWCF              23.826              22.133             1.692         3.753
PRECT              3.544               3.794            -0.250         0.988
PRECT_LAND         2.660               3.006            -0.346         0.904
PRECT_OCEAN        3.882               4.089            -0.207         1.020
PREH2O            40.272              49.568            -9.296        10.619
PREH2O_OCEAN      41.841              50.420            -8.579        10.188
PSI_200           -0.035              -0.030            -0.005         0.371
PS               986.829             987.741            -0.912        22.213
PSL             1007.693            1004.572             3.121         3.937
QFLX               3.553               3.802            -0.249         0.395
SHFLX             24.086              23.919             0.166         5.430
SNOWHLND          68.611              29.742            38.869       187.146
SST               23.952              26.531            -2.579         2.702
STRESS_MAG         0.070               0.065             0.005         0.020
SWCF             -39.957             -36.377            -3.580         7.083
T_850            288.794             291.741            -2.947         3.300
TGCLDLWP          58.772              55.415             3.357        12.859
TGCLDIWP          13.072              12.187             0.885         3.038
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.108               0.121            -0.013         0.021
AODDUST            0.001               0.001             0.000         0.001
TREFHT           295.898             299.093            -3.195         3.983
TS               297.190             300.309            -3.119         4.029
TS_LAND          298.313             302.787            -4.474         6.297
U_200             16.029              15.628             0.400         2.637
VT_850             1.085               1.068             0.018         1.636
Z3_500            57.949              58.449            -0.500         0.536
