DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM             2.041               2.014             0.027         5.017
RESSURF           -0.234              -1.042             0.808        11.520
SOLIN            337.774             337.774             0.000         0.000
AAM            2.028e+26           2.176e+26        -1.486e+25      -999.000
CHI_200           -0.005              -0.006             0.000         1.466
CLDHGH            46.077              45.876             0.200         4.220
CLDLOW            30.776              27.659             3.118         7.573
CLDMED            23.685              19.649             4.037         6.051
CLDTOT            63.736              60.961             2.775         5.365
EKE_850           34.110              33.180             0.930         3.935
EP             3.352e-02           4.567e-02        -1.214e-02         1.473
FLNS              56.283              51.778             4.506         7.414
FLNSC             75.978              67.786             8.192         9.339
FLNT             253.415             257.238            -3.823         8.098
FLNTC            277.356             280.110            -2.754         6.181
FSDS             196.060             196.107            -0.046         7.936
FSDSC            240.267             236.445             3.822         4.093
FSNS             178.855             179.800            -0.946         7.713
FSNSC            219.104             216.707             2.397         5.040
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       206.630             206.094             0.535         7.531
FSNT             255.456             259.252            -3.795         7.746
FSNTC            293.091             294.282            -1.192         4.451
ICEAREA            1.015               0.021             0.994         0.355
LHFLX            100.473             107.096            -6.623        13.918
LWCF              23.941              22.872             1.068         4.751
PRECT              3.419               3.641            -0.222         1.422
PRECT_LAND         2.493               2.675            -0.182         0.852
PRECT_OCEAN        3.778               4.007            -0.230         1.588
PREH2O            36.994              45.724            -8.730         9.845
PREH2O_OCEAN      40.531              49.485            -8.954        10.245
PSI_200           -0.008              -0.003            -0.005         0.599
PS               986.508             987.364            -0.856        21.662
PSL             1007.607            1004.383             3.224         4.076
QFLX               3.453               3.686            -0.234         0.391
SHFLX             22.333              21.969             0.364         6.047
SNOWHLND          70.510              29.999            40.511       189.890
SST               24.138              26.882            -2.744         2.866
STRESS_MAG         0.061               0.054             0.008         0.021
SWCF             -37.634             -35.030            -2.604         7.288
T_850            287.422             290.536            -3.115         3.420
TGCLDLWP          54.741              51.716             3.025        13.228
TGCLDIWP          12.211              11.834             0.377         3.675
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.098               0.104            -0.006         0.018
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           294.503             297.850            -3.347         4.240
TS               295.822             299.117            -3.295         4.320
TS_LAND          292.315             297.059            -4.745         6.844
U_200             20.615              21.402            -0.788         3.338
VT_850             0.021               0.151            -0.131         1.494
Z3_500            57.627              58.129            -0.502         0.541
