DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM             0.927              -0.457             1.384         5.588
RESSURF            5.554               5.271             0.283        10.707
SOLIN            342.539             342.539             0.000         0.000
AAM            1.700e+26           1.583e+26         1.169e+25      -999.000
CHI_200            0.002               0.011            -0.009         1.233
CLDHGH            42.575              41.502             1.073         4.542
CLDLOW            32.139              30.246             1.893         6.866
CLDMED            23.612              19.756             3.856         5.273
CLDTOT            61.446              58.797             2.648         5.691
EKE_850           34.640              34.386             0.254         4.268
EP            -4.981e-02          -6.994e-02         2.013e-02         1.058
FLNS              55.138              50.396             4.743         7.632
FLNSC             75.397              67.432             7.964         9.326
FLNT             255.435             260.722            -5.287         8.214
FLNTC            277.871             281.425            -3.554         6.594
FSDS             197.532             197.583            -0.051         8.824
FSDSC            244.384             240.463             3.921         4.469
FSNS             179.343             180.592            -1.249         7.865
FSNSC            222.408             220.031             2.377         7.138
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       167.530             166.243             1.286         9.774
FSNT             256.363             260.265            -3.902         8.264
FSNTC            296.300             297.224            -0.924         7.303
ICEAREA            2.436            -999.000          -999.000         0.341
LHFLX             98.046             104.723            -6.677        12.829
LWCF              22.436              20.703             1.733         3.855
PRECT              3.428               3.690            -0.262         1.021
PRECT_LAND         2.660               3.091            -0.431         1.024
PRECT_OCEAN        3.723               3.906            -0.184         1.021
PREH2O            36.816              44.862            -8.046         9.740
PREH2O_OCEAN      39.843              47.339            -7.496         9.555
PSI_200           -0.021              -0.017            -0.003         0.598
PS               986.490             987.279            -0.789        21.983
PSL             1007.565            1004.299             3.266         3.850
QFLX               3.378               3.620            -0.242         0.383
SHFLX             20.604              20.202             0.402         4.890
SNOWHLND          68.935              30.339            38.596       185.276
SST               23.923              26.418            -2.495         2.646
STRESS_MAG         0.067               0.064             0.003         0.016
SWCF             -39.938             -36.959            -2.979         7.568
T_850            287.133             290.172            -3.039         3.362
TGCLDLWP          57.678              55.554             2.124        12.244
TGCLDIWP          10.999              10.371             0.629         2.677
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.107               0.123            -0.016         0.027
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           294.143             297.319            -3.176         4.044
TS               295.418             298.529            -3.111         4.104
TS_LAND          292.090             296.737            -4.647         6.536
U_200             17.660              16.695             0.964         2.744
VT_850             0.446               0.535            -0.089         1.481
Z3_500            57.613              58.102            -0.489         0.512
