DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM           -27.898             -28.335             0.436         3.148
RESSURF           -9.436              -9.466             0.030         4.449
SOLIN            304.949             304.949             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.814              -1.260             0.447         0.830
CLDHGH            41.623              41.053             0.571         2.817
CLDLOW            33.620              31.061             2.559         4.352
CLDMED            24.493              20.627             3.867         4.461
CLDTOT            60.813              58.402             2.412         3.890
EKE_850           40.678              39.492             1.186         3.164
EP            -9.791e-02          -1.417e-01         4.378e-02         0.410
FLNS              60.370              54.754             5.616         6.986
FLNSC             82.831              73.402             9.429         9.898
FLNT             251.922             256.139            -4.217         5.170
FLNTC            272.680             276.168            -3.488         4.115
FSDS             173.515             173.266             0.249         4.932
FSDSC            216.263             212.310             3.953         4.066
FSNS             154.594             155.451            -0.857         4.754
FSNSC            192.912             190.621             2.291         3.639
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       172.406             171.473             0.934         3.719
FSNT             224.023             227.804            -3.781         5.479
FSNTC            259.681             261.080            -1.399         2.968
ICEAREA            0.310               0.010             0.300         0.158
LHFLX             78.327              85.575            -7.248         9.200
LWCF              20.758              20.029             0.729         2.214
PRECT              2.798               3.106            -0.308         0.485
PRECT_LAND         2.260               2.625            -0.365         0.531
PRECT_OCEAN        3.249               3.511            -0.262         0.445
PREH2O            29.836              38.648            -8.812         9.166
PREH2O_OCEAN      35.443              44.990            -9.547         9.874
PSI_200           -8.362              -8.100            -0.262         0.332
PS               976.975             975.667             1.309         4.687
PSL             1010.226            1006.524             3.703         3.891
QFLX               2.700               2.964            -0.264         0.311
SHFLX             25.332              24.589             0.744         3.157
SNOWHLND           2.116               1.104             1.012         2.082
SST               22.726              25.768            -3.042         3.138
STRESS_MAG         0.040               0.038             0.003         0.009
SWCF             -35.658             -33.276            -2.382         4.674
T_850            285.267             288.979            -3.711         3.767
TGCLDLWP          55.888              54.767             1.121         8.300
TGCLDIWP          11.978              11.264             0.714         1.852
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.074               0.080            -0.006         0.010
AODDUST            0.001               0.001             0.000         0.001
TREFHT           291.603             295.231            -3.628         3.751
TS               292.877             296.433            -3.556         3.711
TS_LAND          289.566             293.710            -4.143         4.274
U_200             19.408              18.799             0.609         2.015
VT_850             0.278               0.262             0.016         1.044
Z3_500            57.427              57.975            -0.548         0.564
