DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM          -119.774            -121.990             2.216         4.453
RESSURF          -91.397             -94.139             2.742        12.768
SOLIN            166.352             166.352             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.096               0.492             1.604         1.751
CLDHGH            40.753              41.324            -0.571         4.599
CLDLOW            40.899              38.116             2.783         5.477
CLDMED            30.644              26.868             3.776         5.176
CLDTOT            64.260              61.973             2.287         5.144
EKE_850           48.737              46.706             2.031         4.920
EP             1.742e-01           1.984e-01        -2.410e-02         0.622
FLNS              60.812              57.577             3.235         5.674
FLNSC             89.003              82.792             6.211         7.760
FLNT             238.218             242.718            -4.500         6.365
FLNTC            257.808             262.332            -4.523         5.445
FSDS              93.943              93.437             0.506         3.501
FSDSC            114.913             112.946             1.967         2.306
FSNS              81.399              82.241            -0.842         4.571
FSNSC             99.247              99.116             0.131         4.918
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND        76.542              78.588            -2.046         7.178
FSNT             118.444             120.728            -2.284         4.713
FSNTC            135.584             137.211            -1.627         4.842
ICEAREA            0.405               0.021             0.384         0.276
LHFLX             91.075              99.440            -8.365        13.315
LWCF              19.591              19.614            -0.023         3.523
PRECT              2.906               3.182            -0.276         0.633
PRECT_LAND         1.752               2.066            -0.314         0.565
PRECT_OCEAN        3.883               4.118            -0.235         0.686
PREH2O            19.552              25.036            -5.485         6.196
PREH2O_OCEAN      25.728              32.379            -6.651         7.436
PSI_200           -9.931              -9.438            -0.493         0.627
PS               976.810             976.124             0.686         4.713
PSL             1011.130            1007.880             3.250         4.060
QFLX               3.081               3.380            -0.300         0.432
SHFLX             20.908              19.363             1.546         5.372
SNOWHLND           4.207               2.371             1.837         3.394
SST               20.502              23.510            -3.008         3.077
STRESS_MAG         0.067               0.061             0.007         0.024
SWCF             -17.140             -16.483            -0.657         3.196
T_850            278.504             282.128            -3.624         3.717
TGCLDLWP          56.585              57.119            -0.534        11.074
TGCLDIWP          10.051               9.453             0.599         2.519
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.073               0.076            -0.004         0.010
AODDUST            0.000               0.000            -0.000         0.000
TREFHT           284.282             287.991            -3.708         3.913
TS               285.587             289.293            -3.706         3.938
TS_LAND          276.157             280.667            -4.510         4.735
U_200             26.335              25.757             0.578         3.737
VT_850             0.480               0.469             0.012         2.289
Z3_500            56.189              56.763            -0.574         0.635
