DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            63.413              66.158            -2.745         7.489
RESSURF           70.418              72.737            -2.319         7.641
SOLIN            446.448             446.448             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.812              -3.119            -0.694         1.710
CLDHGH            42.512              41.076             1.436         3.538
CLDLOW            28.941              26.224             2.717         6.275
CLDMED            16.782              13.336             3.446         4.438
CLDTOT            58.689              56.089             2.600         5.010
EKE_850           25.150              25.918            -0.768         3.998
EP            -4.085e-01          -5.045e-01         9.597e-02         0.702
FLNS              55.491              48.217             7.274         9.322
FLNSC             71.884              59.830            12.053        12.727
FLNT             265.869             269.387            -3.518         5.292
FLNTC            288.099             290.332            -2.233         3.325
FSDS             248.533             250.096            -1.563        10.204
FSDSC            316.998             311.104             5.894         6.008
FSNS             223.957             225.937            -1.981         9.426
FSNSC            286.832             281.928             4.904         5.340
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       270.318             266.018             4.299         5.133
FSNT             329.282             335.545            -6.263        10.177
FSNTC            387.450             388.181            -0.731         2.131
ICEAREA            0.002               0.000             0.002         0.006
LHFLX             66.419              73.041            -6.623        11.754
LWCF              22.230              20.946             1.284         2.859
PRECT              2.757               3.095            -0.338         0.759
PRECT_LAND         2.770               3.172            -0.402         0.896
PRECT_OCEAN        2.752               3.040            -0.287         0.626
PREH2O            43.389              56.085           -12.696        12.982
PREH2O_OCEAN      48.073              61.184           -13.111        13.341
PSI_200           -6.143              -5.881            -0.263         0.393
PS               976.625             974.832             1.793         4.852
PSL             1008.882            1004.854             4.027         4.140
QFLX               2.349               2.591            -0.242         0.384
SHFLX             31.628              31.941            -0.313         4.635
SNOWHLND           0.043               0.008             0.035         0.564
SST               24.762              27.883            -3.121         3.274
STRESS_MAG         0.032               0.031             0.000         0.007
SWCF             -58.169             -52.636            -5.532        10.029
T_850            293.070             296.730            -3.660         3.699
TGCLDLWP          59.395              55.259             4.136        13.370
TGCLDIWP          15.163              14.009             1.154         3.237
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.082               0.092            -0.010         0.020
AODDUST            0.002               0.001             0.000         0.002
TREFHT           299.120             302.700            -3.581         3.708
TS               300.377             303.816            -3.439         3.637
TS_LAND          303.357             307.171            -3.814         4.028
U_200             10.722              10.061             0.661         1.765
VT_850             0.110               0.111            -0.001         1.266
Z3_500            58.814              59.329            -0.514         0.522
