DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            21.722              22.029            -0.307         4.826
RESSURF           24.133              23.155             0.978         7.909
SOLIN            367.149             367.149             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.424               0.132             1.293         1.579
CLDHGH            42.470              42.052             0.417         3.370
CLDLOW            32.085              29.107             2.978         4.968
CLDMED            26.372              22.305             4.067         5.019
CLDTOT            61.447              58.800             2.647         4.653
EKE_850           39.478              37.421             2.057         4.187
EP             9.407e-02           1.387e-01        -4.468e-02         0.472
FLNS              67.430              62.390             5.039         7.131
FLNSC             91.171              82.318             8.853         9.643
FLNT             248.788             252.961            -4.173         5.542
FLNTC            269.970             273.501            -3.531         4.320
FSDS             214.516             213.479             1.037         7.199
FSDSC            266.956             262.382             4.574         4.766
FSNS             190.716             191.937            -1.220         7.675
FSNSC            237.404             235.958             1.446         6.366
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       215.186             215.971            -0.785         7.836
FSNT             270.510             274.990            -4.480         8.048
FSNTC            312.868             315.616            -2.748         6.530
ICEAREA            0.833               0.019             0.814         0.396
LHFLX             70.898              78.588            -7.690        11.719
LWCF              21.182              20.540             0.642         2.710
PRECT              2.324               2.548            -0.224         0.489
PRECT_LAND         2.027               2.319            -0.292         0.506
PRECT_OCEAN        2.587               2.741            -0.153         0.474
PREH2O            23.638              30.528            -6.890         7.266
PREH2O_OCEAN      28.134              35.196            -7.062         7.694
PSI_200          -10.253             -10.686             0.433         0.489
PS               977.440             976.605             0.835         4.664
PSL             1010.646            1007.442             3.204         3.489
QFLX               2.418               2.687            -0.269         0.383
SHFLX             28.255              27.803             0.452         4.497
SNOWHLND           3.882               1.956             1.926         4.450
SST               20.345              23.236            -2.891         2.988
STRESS_MAG         0.040               0.038             0.002         0.011
SWCF             -42.358             -40.625            -1.733         6.293
T_850            283.493             287.165            -3.671         3.753
TGCLDLWP          50.606              50.261             0.345         9.379
TGCLDIWP          12.511              12.170             0.341         2.447
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.074               0.077            -0.003         0.008
AODDUST            0.001               0.001             0.000         0.001
TREFHT           290.225             293.719            -3.494         3.666
TS               291.487             294.906            -3.419         3.631
TS_LAND          289.606             293.601            -3.995         4.220
U_200             22.848              22.517             0.331         2.437
VT_850             0.377               0.374             0.002         1.265
Z3_500            56.993              57.554            -0.561         0.584
