DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM           -76.951             -79.544             2.593         4.397
RESSURF          -40.939             -39.553            -1.386         9.471
SOLIN            239.846             239.846             0.000         0.000
AAM            9.969e+36           9.969e+36         9.969e+369969209968386869046778552952102584320.000
CHI_200           -2.961              -2.535            -0.426         1.232
CLDHGH            40.772              39.734             1.038         4.559
CLDLOW            32.542              30.789             1.753         4.596
CLDMED            24.165              19.997             4.168         4.976
CLDTOT            58.869              56.720             2.148         4.958
EKE_850           38.113              37.072             1.042         4.815
EP            -2.496e-01          -3.969e-01         1.473e-01         0.710
FLNS              57.780              50.828             6.952         8.466
FLNSC             79.281              68.656            10.624        11.145
FLNT             254.800             259.501            -4.701         6.237
FLNTC            274.826             278.501            -3.674         4.605
FSDS             137.071             136.058             1.013         4.388
FSDSC            166.190             162.811             3.380         3.643
FSNS             122.302             121.694             0.608         3.715
FSNSC            148.168             145.483             2.685         3.061
FSNSC_ICE9969209968386869046778552952102584320.0009969209968386869046778552952102584320.0009969209968386869046778552952102584320.0009969209968386869046778552952102584320.000
FSNSC_LAND       127.582             125.313             2.269         2.864
FSNT             177.849             179.957            -2.108         3.761
FSNTC            202.817             203.313            -0.496         1.232
ICEAREA            0.0009969209968386869046778552952102584320.0009969209968386869046778552952102584320.0009969209968386869046778552952102584320.000
LHFLX             84.932              91.176            -6.244        11.297
LWCF              20.026              19.000             1.027         2.855
PRECT              3.203               3.594            -0.392         0.793
PRECT_LAND         2.491               2.946            -0.454         0.883
PRECT_OCEAN        3.794               4.136            -0.342         0.711
PREH2O            32.741              42.935           -10.193        10.819
PREH2O_OCEAN      40.022              51.193           -11.171        11.627
PSI_200           -7.118              -6.396            -0.722         0.772
PS               976.995             975.105             1.890         5.018
PSL             1010.218            1005.919             4.300         4.429
QFLX               2.953               3.197            -0.244         0.377
SHFLX             20.529              19.244             1.285         3.499
SNOWHLND           0.339               0.088             0.251         0.626
SST               24.974              28.149            -3.176         3.294
STRESS_MAG         0.044               0.041             0.004         0.009
SWCF             -24.968             -23.357            -1.611         3.698
T_850            286.026             289.928            -3.902         3.982
TGCLDLWP          56.885              56.423             0.461         9.617
TGCLDIWP          10.188               9.419             0.769         2.153
TICLDTWP9969209968386869046778552952102584320.0009969209968386869046778552952102584320.0009969209968386869046778552952102584320.0009969209968386869046778552952102584320.000
AODVIS             0.069               0.077            -0.008         0.014
AODDUST            0.001               0.001             0.000         0.000
TREFHT           292.770             296.506            -3.735         3.848
TS               294.041             297.707            -3.667         3.818
TS_LAND          289.125             293.381            -4.256         4.369
U_200             17.738              16.836             0.901         2.362
VT_850             0.154               0.111             0.043         1.238
Z3_500            57.708              58.253            -0.545         0.559
