DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM           -25.165             -24.832            -0.333         5.183
RESSURF           -6.057              -4.749            -1.309         9.638
SOLIN            305.958             305.958             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.331               1.593            -0.262         0.714
CLDHGH            39.154              38.072             1.082         3.314
CLDLOW            45.150              40.658             4.492        10.780
CLDMED            28.790              24.914             3.875         5.775
CLDTOT            66.013              61.165             4.847         6.194
EKE_850           51.269              50.103             1.166         3.933
EP             1.775e-01           1.938e-01        -1.630e-02         0.389
FLNS              55.522              53.747             1.775         6.102
FLNSC             86.330              79.762             6.569         7.580
FLNT             242.499             248.911            -6.412         8.783
FLNTC            262.908             268.017            -5.109         9.250
FSDS             169.027             170.993            -1.965        10.175
FSDSC            220.643             216.724             3.919         4.709
FSNS             151.143             155.566            -4.423         8.795
FSNSC            198.008             197.112             0.896        10.085
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       145.647             154.187            -8.540        24.737
FSNT             217.334             224.079            -6.745        10.439
FSNTC            259.663             262.019            -2.356        11.310
ICEAREA            1.146               0.050             1.096         0.181
LHFLX             85.120              90.249            -5.129         8.579
LWCF              20.409              19.106             1.303         2.949
PRECT              2.713               2.885            -0.172         0.409
PRECT_LAND         1.411               1.743            -0.332         0.760
PRECT_OCEAN        2.959               3.099            -0.139         0.299
PREH2O            22.160              27.332            -5.172         5.321
PREH2O_OCEAN      23.250              28.341            -5.091         5.283
PSI_200            9.496               9.484             0.012         0.172
PS               983.592             989.458            -5.866        37.484
PSL             1004.376            1001.526             2.850         4.319
QFLX               2.891               3.078            -0.188         0.278
SHFLX             16.558              16.319             0.240         6.054
SNOWHLND         354.984             152.642           202.342       428.175
SST               16.842              19.766            -2.924         3.012
STRESS_MAG         0.086               0.075             0.011         0.024
SWCF             -42.329             -37.940            -4.389         8.433
T_850            280.450             283.308            -2.859         3.371
TGCLDLWP          69.681              63.691             5.990        16.315
TGCLDIWP           9.138               8.892             0.246         1.243
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.111               0.124            -0.013         0.020
AODDUST            0.000               0.000            -0.000         0.001
TREFHT           286.680             290.507            -3.828         5.522
TS               287.702             291.570            -3.868         5.706
TS_LAND          277.646             286.405            -8.759        12.679
U_200             28.848              28.748             0.101         1.637
VT_850            -0.436              -0.376            -0.060         1.593
Z3_500            55.821              56.347            -0.526         0.563
