DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            81.461              87.830            -6.370        17.069
RESSURF           89.716              95.714            -5.998        14.377
SOLIN            469.734             469.734             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.502              -0.096            -1.406         1.619
CLDHGH            40.603              40.034             0.569         5.320
CLDLOW            41.448              37.227             4.222        11.792
CLDMED            26.060              22.529             3.531         5.924
CLDTOT            65.428              61.461             3.966         7.578
EKE_850           37.880              34.579             3.301         5.012
EP             2.781e-02           1.060e-02         1.721e-02         0.551
FLNS              53.841              50.878             2.963         8.293
FLNSC             81.662              73.795             7.867         9.064
FLNT             250.276             255.591            -5.315         9.287
FLNTC            269.984             274.365            -4.381         9.241
FSDS             261.401             262.402            -1.001        23.696
FSDSC            345.356             338.623             6.733         9.949
FSNS             230.460             237.963            -7.504        20.409
FSNSC            307.894             308.212            -0.318        27.084
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       210.124             238.652           -28.528        69.779
FSNT             331.736             343.422           -11.685        23.963
FSNTC            400.613             406.615            -6.002        30.594
ICEAREA            0.130               0.000             0.130         0.037
LHFLX             70.730              75.296            -4.566        11.924
LWCF              19.708              18.774             0.934         3.901
PRECT              2.403               2.585            -0.182         0.581
PRECT_LAND         1.619               2.054            -0.435         0.982
PRECT_OCEAN        2.550               2.686            -0.136         0.471
PREH2O            26.982              33.711            -6.729         7.107
PREH2O_OCEAN      27.896              34.550            -6.654         6.995
PSI_200            9.273               9.096             0.177         0.366
PS               983.371             988.452            -5.082        36.767
PSL             1003.737            1000.192             3.545         4.905
QFLX               2.431               2.596            -0.165         0.388
SHFLX             16.172              16.075             0.096         6.352
SNOWHLND         354.904             149.927           204.978       433.512
SST               18.168              21.358            -3.191         3.324
STRESS_MAG         0.069               0.059             0.010         0.020
SWCF             -68.877             -63.193            -5.683        17.579
T_850            283.792             286.832            -3.040         3.486
TGCLDLWP          73.464              66.380             7.084        20.018
TGCLDIWP           8.294               8.731            -0.437         3.200
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.118               0.126            -0.009         0.024
AODDUST            0.000               0.000            -0.000         0.000
TREFHT           289.733             293.678            -3.945         5.699
TS               290.679             294.674            -3.995         5.905
TS_LAND          287.307             295.755            -8.448        12.947
U_200             23.197              22.438             0.759         3.148
VT_850            -0.227              -0.143            -0.084         1.599
Z3_500            56.445              56.929            -0.484         0.550
