DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM          -124.953            -129.225             4.272         7.672
RESSURF          -96.770             -99.124             2.354        14.593
SOLIN            154.237             154.237             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.217               3.392             0.825         1.944
CLDHGH            38.422              37.072             1.350         4.630
CLDLOW            48.962              44.436             4.526        10.822
CLDMED            31.649              27.422             4.227         6.932
CLDTOT            67.346              62.084             5.263         6.865
EKE_850           62.080              61.135             0.945         5.857
EP             2.777e-01           3.195e-01        -4.185e-02         0.609
FLNS              56.805              55.353             1.452         6.011
FLNSC             90.785              84.680             6.106         7.292
FLNT             234.451             241.437            -6.986         9.306
FLNTC            256.332             261.804            -5.471         9.301
FSDS              82.339              84.181            -1.842         3.891
FSDSC            105.352             103.631             1.721         1.976
FSNS              75.327              76.996            -1.669         3.427
FSNSC             95.385              93.955             1.430         1.813
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND        85.657              84.107             1.550         2.408
FSNT             109.498             112.212            -2.714         3.898
FSNTC            128.637             128.616             0.021         0.499
ICEAREA            1.860               0.079             1.781         0.339
LHFLX             98.030             104.018            -5.988        11.187
LWCF              21.881              20.366             1.514         3.622
PRECT              3.030               3.210            -0.180         0.624
PRECT_LAND         1.273               1.592            -0.319         0.833
PRECT_OCEAN        3.374               3.512            -0.138         0.577
PREH2O            17.824              22.001            -4.177         4.443
PREH2O_OCEAN      19.097              23.103            -4.006         4.437
PSI_200            9.225               9.140             0.085         0.362
PS               984.170             990.712            -6.542        38.217
PSL             1005.271            1003.036             2.234         4.414
QFLX               3.308               3.529            -0.222         0.366
SHFLX             17.261              16.748             0.513         7.104
SNOWHLND         355.050             153.941           201.109       425.797
SST               15.399              18.161            -2.762         2.836
STRESS_MAG         0.099               0.089             0.010         0.031
SWCF             -19.138             -16.404            -2.735         3.979
T_850            277.235             279.973            -2.738         3.355
TGCLDLWP          68.173              63.718             4.455        16.032
TGCLDIWP          10.470               9.781             0.688         1.840
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.103               0.120            -0.016         0.020
AODDUST            0.000               0.000            -0.000         0.001
TREFHT           283.927             287.630            -3.703         5.309
TS               285.050             288.784            -3.735         5.471
TS_LAND          269.298             277.937            -8.639        12.137
U_200             33.600              33.604            -0.003         3.345
VT_850            -0.617              -0.586            -0.031         2.312
Z3_500            55.251              55.823            -0.572         0.647
