DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM           -75.839             -76.741             0.902         5.983
RESSURF          -47.702             -47.501            -0.201        14.904
SOLIN            232.234             232.234             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.863               0.158            -1.021         1.220
CLDHGH            41.524              41.308             0.216         3.708
CLDLOW            44.031              38.642             5.390        11.865
CLDMED            28.515              24.449             4.067         6.471
CLDTOT            67.089              62.214             4.875         6.514
EKE_850           48.939              48.188             0.751         4.758
EP             1.088e-01           6.318e-02         4.561e-02         0.549
FLNS              53.207              51.645             1.562         6.600
FLNSC             82.512              75.592             6.920         8.327
FLNT             243.479             249.101            -5.622         8.738
FLNTC            264.349             269.132            -4.783         9.382
FSDS             126.087             128.730            -2.643         6.448
FSDSC            161.615             158.940             2.675         2.844
FSNS             115.284             118.352            -3.068         5.833
FSNSC            146.999             145.335             1.663         4.137
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       115.954             117.443            -1.489         9.017
FSNT             167.640             172.360            -4.720         6.518
FSNTC            197.246             198.012            -0.766         3.929
ICEAREA            0.182               0.002             0.181         0.191
LHFLX             93.996              98.813            -4.817        10.519
LWCF              20.870              20.031             0.839         3.377
PRECT              3.102               3.330            -0.228         0.602
PRECT_LAND         1.600               1.927            -0.326         0.959
PRECT_OCEAN        3.381               3.593            -0.211         0.509
PREH2O            25.228              31.282            -6.054         6.324
PREH2O_OCEAN      26.450              32.542            -6.092         6.339
PSI_200           10.274              10.964            -0.690         0.764
PS               983.761             989.268            -5.507        37.259
PSL             1004.651            1001.369             3.282         5.242
QFLX               3.210               3.393            -0.183         0.342
SHFLX             15.783              15.395             0.388         7.679
SNOWHLND         354.078             149.789           204.289       431.975
SST               18.143              21.277            -3.133         3.260
STRESS_MAG         0.088               0.072             0.016         0.032
SWCF             -29.607             -25.652            -3.954         6.267
T_850            281.722             284.650            -2.928         3.528
TGCLDLWP          68.844              61.554             7.290        18.881
TGCLDIWP           9.228               9.211             0.017         1.899
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.110               0.119            -0.010         0.022
AODDUST            0.000               0.000            -0.000         0.001
TREFHT           287.918             291.946            -4.028         5.813
TS               288.981             293.063            -4.082         6.014
TS_LAND          276.673             285.972            -9.299        13.354
U_200             27.166              26.993             0.173         3.322
VT_850            -0.426              -0.359            -0.068         2.094
Z3_500            56.144              56.662            -0.518         0.596
