DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            18.627              18.842            -0.215         6.974
RESSURF           30.506              31.950            -1.444        11.781
SOLIN            367.629             367.629             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.469               2.912             0.557         1.024
CLDHGH            36.068              33.902             2.165         4.690
CLDLOW            46.196              42.328             3.867        10.412
CLDMED            28.957              25.252             3.705         5.449
CLDTOT            64.217              58.933             5.284         7.136
EKE_850           50.478              49.971             0.507         5.018
EP             2.939e-01           3.836e-01        -8.970e-02         0.476
FLNS              58.221              57.101             1.120         6.045
FLNSC             90.389              84.966             5.422         6.874
FLNT             241.738             249.502            -7.763         9.827
FLNTC            260.913             266.759            -5.846         9.611
FSDS             206.221             208.675            -2.455        11.911
FSDSC            270.291             265.702             4.589         5.507
FSNS             183.413             188.970            -5.557        10.502
FSNSC            241.762             240.945             0.817        11.357
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       170.877             176.508            -5.631        21.648
FSNT             260.365             268.343            -7.978        12.047
FSNTC            312.135             314.836            -2.701        12.542
ICEAREA            2.436               0.119             2.317         0.341
LHFLX             77.660              82.878            -5.219        10.162
LWCF              19.175              17.257             1.918         3.550
PRECT              2.317               2.412            -0.095         0.459
PRECT_LAND         1.151               1.405            -0.254         0.685
PRECT_OCEAN        2.549               2.601            -0.052         0.402
PREH2O            18.574              22.346            -3.772         4.042
PREH2O_OCEAN      19.668              23.178            -3.509         4.024
PSI_200            9.215               8.734             0.480         0.553
PS               983.080             989.403            -6.322        37.788
PSL             1003.861            1001.510             2.351         3.829
QFLX               2.611               2.796            -0.184         0.322
SHFLX             17.026              17.041            -0.015         6.243
SNOWHLND         355.892             156.802           199.090       421.542
SST               15.308              17.991            -2.683         2.776
STRESS_MAG         0.095               0.088             0.008         0.022
SWCF             -51.770             -46.493            -5.277        10.181
T_850            279.055             281.798            -2.743         3.269
TGCLDLWP          68.320              63.099             5.221        16.082
TGCLDIWP           8.562               7.848             0.714         1.509
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.113               0.133            -0.019         0.024
AODDUST            0.000               0.000            -0.000         0.002
TREFHT           285.117             288.777            -3.660         5.414
TS               286.075             289.760            -3.685         5.585
TS_LAND          277.281             285.956            -8.675        12.550
U_200             31.422              31.942            -0.521         2.733
VT_850            -0.480              -0.413            -0.067         2.007
Z3_500            55.442              55.975            -0.533         0.568
