DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            52.406              52.284             0.122         3.215
RESSURF           15.625              14.187             1.438         5.682
SOLIN            408.220             408.220             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.514              -0.320            -0.193         0.979
CLDHGH            52.242              52.147             0.096         3.937
CLDLOW            17.477              16.611             0.866         2.195
CLDMED            17.178              13.568             3.611         4.974
CLDTOT            61.981              61.069             0.911         3.646
EKE_850           20.494              20.582            -0.088         2.778
EP            -7.638e-02          -5.099e-02        -2.539e-02         1.376
FLNS              49.127              42.882             6.245         7.649
FLNSC             56.109              47.972             8.136         9.212
FLNT             268.338             270.684            -2.346         7.197
FLNTC            297.078             297.570            -0.492         2.961
FSDS             241.265             240.418             0.846         6.805
FSDSC            287.537             283.801             3.736         3.885
FSNS             224.510             223.696             0.815         6.321
FSNSC            268.344             264.746             3.598         3.825
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.191             242.701             4.490         4.943
FSNT             320.744             322.967            -2.224         5.675
FSNTC            362.946             362.894             0.052         1.168
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            136.718             143.742            -7.024        12.956
LWCF              28.740              26.886             1.854         4.604
PRECT              4.810               5.024            -0.214         1.300
PRECT_LAND         4.003               4.121            -0.118         0.871
PRECT_OCEAN        5.018               5.254            -0.236         1.393
PREH2O            59.405              70.679           -11.274        12.275
PREH2O_OCEAN      61.484              72.612           -11.127        12.247
PSI_200           -1.154              -1.385             0.231         0.280
PS               998.758             996.751             2.006         2.838
PSL             1008.261            1005.101             3.160         3.198
QFLX               4.733               4.973            -0.239         0.351
SHFLX             23.040              22.884             0.156         4.137
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.293              34.324            -2.031         2.069
STRESS_MAG         0.049               0.047             0.002         0.009
SWCF             -42.202             -39.926            -2.276         6.194
T_850            295.688             298.442            -2.754         2.788
TGCLDLWP          46.933              45.493             1.440         6.795
TGCLDIWP          14.400              13.975             0.425         3.185
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.123               0.132            -0.009         0.020
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           304.501             306.820            -2.319         2.419
TS               306.068             308.269            -2.201         2.407
TS_LAND          308.446             311.287            -2.841         3.407
U_200              7.471               7.378             0.092         1.845
VT_850             0.919               1.168            -0.249         0.770
Z3_500            59.654              60.044            -0.390         0.390
