DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            59.836              61.646            -1.810         5.781
RESSURF           20.323              22.258            -1.935        11.320
SOLIN            413.344             413.344             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.588              -0.389            -0.199         2.003
CLDHGH            54.579              54.509             0.070         8.112
CLDLOW            15.827              14.442             1.386         3.180
CLDMED            17.679              14.885             2.795         6.739
CLDTOT            62.583              61.562             1.022         7.189
EKE_850           15.222              14.072             1.150         4.005
EP            -1.716e-01          -1.542e-01        -1.741e-02         2.210
FLNS              50.372              44.417             5.955         8.161
FLNSC             56.956              49.154             7.802         9.416
FLNT             265.334             266.118            -0.784        12.764
FLNTC            295.407             295.011             0.396         4.675
FSDS             244.979             244.838             0.142        12.032
FSDSC            291.221             287.904             3.317         3.563
FSNS             228.250             228.039             0.211        11.387
FSNSC            271.982             268.709             3.272         3.701
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.997             242.476             4.521         5.265
FSNT             325.170             327.764            -2.594        10.357
FSNTC            367.630             367.849            -0.219         1.576
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            135.898             139.830            -3.932        18.063
LWCF              30.073              28.893             1.180         8.713
PRECT              4.889               5.005            -0.116         2.066
PRECT_LAND         4.317               4.179             0.138         1.911
PRECT_OCEAN        5.046               5.220            -0.174         2.102
PREH2O            58.279              69.190           -10.911        12.622
PREH2O_OCEAN      60.912              71.995           -11.083        12.995
PSI_200            0.648               0.349             0.299         0.435
PS               998.501             996.447             2.054         2.913
PSL             1008.036            1004.823             3.213         3.301
QFLX               4.718               4.851            -0.134         0.441
SHFLX             21.656              21.534             0.123         6.149
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.356              34.362            -2.006         2.098
STRESS_MAG         0.049               0.043             0.005         0.014
SWCF             -42.461             -40.085            -2.375        11.033
T_850            295.238             297.860            -2.622         2.682
TGCLDLWP          45.714              43.669             2.045        11.437
TGCLDIWP          15.032              15.315            -0.283         6.566
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.107               0.105             0.003         0.030
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           304.132             306.407            -2.275         2.431
TS               305.698             307.897            -2.199         2.486
TS_LAND          306.442             309.363            -2.921         3.609
U_200              9.659               9.525             0.134         3.768
VT_850            -1.594              -1.146            -0.448         1.343
Z3_500            59.540              59.862            -0.322         0.324
