DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            31.214              30.167             1.047         4.291
RESSURF           -6.664              -9.213             2.549        10.213
SOLIN            389.032             389.032             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.404              -0.255            -0.149         2.271
CLDHGH            49.668              49.385             0.283         4.803
CLDLOW            19.532              18.560             0.972         3.156
CLDMED            16.854              12.906             3.948         6.111
CLDTOT            61.413              60.205             1.208         4.096
EKE_850           15.874              17.486            -1.612         3.853
EP             1.541e-01           2.035e-01        -4.934e-02         1.452
FLNS              48.207              42.145             6.062         7.493
FLNSC             55.798              47.661             8.137         9.141
FLNT             270.908             274.326            -3.418         6.920
FLNTC            298.192             299.345            -1.154         3.164
FSDS             225.594             224.991             0.603         6.421
FSDSC            272.470             268.817             3.653         3.851
FSNS             209.345             208.787             0.558         5.760
FSNSC            253.738             250.229             3.509         3.787
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       237.811             233.218             4.592         5.117
FSNT             302.122             304.493            -2.371         5.405
FSNTC            344.625             344.497             0.127         1.253
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            144.417             152.767            -8.350        15.088
LWCF              27.283              25.019             2.264         4.562
PRECT              4.814               5.047            -0.233         1.393
PRECT_LAND         3.439               3.685            -0.246         0.971
PRECT_OCEAN        5.163               5.394            -0.231         1.485
PREH2O            59.153              70.128           -10.975        12.212
PREH2O_OCEAN      61.121              71.731           -10.609        11.865
PSI_200           -3.112              -3.272             0.160         0.355
PS               999.393             997.447             1.946         2.788
PSL             1008.898            1005.797             3.101         3.164
QFLX               4.968               5.250            -0.282         0.432
SHFLX             23.384              23.088             0.296         4.100
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.081              34.115            -2.034         2.070
STRESS_MAG         0.067               0.064             0.002         0.010
SWCF             -42.502             -40.005            -2.498         5.869
T_850            295.542             298.313            -2.771         2.823
TGCLDLWP          48.981              47.456             1.525         7.921
TGCLDIWP          13.572              12.758             0.814         3.704
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.137               0.149            -0.012         0.023
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           304.445             306.766            -2.321         2.428
TS               305.934             308.141            -2.207         2.408
TS_LAND          308.593             311.455            -2.862         3.411
U_200              4.049               3.509             0.540         2.561
VT_850             3.563               3.526             0.038         1.096
Z3_500            59.739              60.155            -0.417         0.417
