DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            58.887              59.387            -0.500         4.080
RESSURF           22.329              20.702             1.627        10.673
SOLIN            412.169             412.169             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.565              -0.300            -0.264         1.568
CLDHGH            54.046              54.073            -0.028         5.298
CLDLOW            16.552              15.516             1.035         2.791
CLDMED            16.343              12.366             3.977         6.529
CLDTOT            62.697              61.849             0.848         4.736
EKE_850           15.409              14.982             0.427         2.641
EP            -9.912e-02          -6.234e-02        -3.678e-02         2.428
FLNS              48.401              41.541             6.859         8.375
FLNSC             54.755              45.967             8.788         9.953
FLNT             267.640             269.363            -1.723         9.440
FLNTC            297.275             297.289            -0.015         2.937
FSDS             246.380             244.949             1.431         9.736
FSDSC            291.021             286.814             4.208         4.404
FSNS             229.362             227.966             1.396         9.215
FSNSC            271.659             267.616             4.043         4.326
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       251.859             247.025             4.834         5.402
FSNT             326.527             328.751            -2.224         8.511
FSNTC            367.388             367.476            -0.088         1.335
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            135.687             143.032            -7.345        18.162
LWCF              29.635              27.926             1.709         6.953
PRECT              4.800               5.012            -0.212         2.321
PRECT_LAND         4.139               3.980             0.159         1.259
PRECT_OCEAN        4.980               5.290            -0.310         2.530
PREH2O            61.532              74.672           -13.140        13.986
PREH2O_OCEAN      63.442              76.766           -13.324        14.244
PSI_200           -0.045              -0.281             0.235         0.509
PS               998.048             996.012             2.035         2.941
PSL             1007.526            1004.339             3.187         3.216
QFLX               4.701               4.950            -0.249         0.441
SHFLX             22.945              22.690             0.255         5.536
SNOWHLND           0.000               0.000             0.000         0.000
SST               32.857              35.099            -2.242         2.288
STRESS_MAG         0.048               0.045             0.003         0.009
SWCF             -40.861             -38.725            -2.135         8.935
T_850            296.337             299.258            -2.921         2.964
TGCLDLWP          45.005              43.527             1.478         9.092
TGCLDIWP          14.833              14.068             0.765         5.524
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.111               0.116            -0.006         0.021
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           305.115             307.652            -2.537         2.637
TS               306.737             309.143            -2.406         2.631
TS_LAND          309.507             312.547            -3.040         3.673
U_200             12.034              14.853            -2.818         4.040
VT_850             0.104               0.429            -0.325         0.910
Z3_500            59.696              60.124            -0.429         0.429
