DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.e21.B1850.f09_g17.14Ma (yrs 21-40)
 
CONTROL CASE: e.e21.B1850.f09_g17.15.5Ma (yrs 21-40)
 
Variable    e.e21.B1850.f09_g17.14Ma  e.e21.B1850.f09_g17.15.5Ma  e.e21.B1850.f09_g17.14Ma        RMSE
                                                      -e.e21.B1850.f09_g17.15.5Ma
RESTOM            59.707              57.942             1.765         5.081
RESSURF           26.594              22.994             3.601        10.742
SOLIN            418.337             418.337             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.492              -0.336            -0.155         1.408
CLDHGH            50.692              50.650             0.041         4.373
CLDLOW            18.015              17.913             0.102         3.565
CLDMED            17.850              14.151             3.699         5.379
CLDTOT            61.256              60.693             0.563         4.681
EKE_850           16.760              17.087            -0.327         2.677
EP            -1.903e-01          -1.935e-01         3.226e-03         1.610
FLNS              49.547              43.424             6.124         8.143
FLNSC             56.959              49.111             7.849         9.457
FLNT             269.434             272.873            -3.439         8.181
FLNTC            297.409             298.607            -1.198         4.182
FSDS             248.101             246.842             1.259         8.520
FSDSC            295.455             291.659             3.796         4.049
FSNS             231.082             229.936             1.146         7.841
FSNSC            276.018             272.419             3.599         3.918
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       252.107             248.088             4.018         4.777
FSNT             329.141             330.815            -1.674         6.791
FSNTC            372.142             371.748             0.394         1.550
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            130.768             139.292            -8.524        16.141
LWCF              27.974              25.733             2.241         4.859
PRECT              4.733               5.031            -0.298         1.502
PRECT_LAND         4.123               4.633            -0.511         1.428
PRECT_OCEAN        4.879               5.116            -0.238         1.519
PREH2O            58.614              68.736           -10.122        12.244
PREH2O_OCEAN      60.416              69.985            -9.569        11.785
PSI_200           -2.109              -2.335             0.226         0.419
PS               999.095             997.096             1.999         2.813
PSL             1008.591            1005.441             3.150         3.209
QFLX               4.543               4.838            -0.295         0.441
SHFLX             24.173              24.227            -0.054         4.538
SNOWHLND           0.000               0.000             0.000         0.000
SST               31.866              33.722            -1.856         1.937
STRESS_MAG         0.053               0.056            -0.003         0.011
SWCF             -43.001             -40.933            -2.069         7.387
T_850            295.637             298.355            -2.718         2.766
TGCLDLWP          48.059              47.336             0.722         9.990
TGCLDIWP          14.172              13.764             0.408         3.798
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.137               0.159            -0.022         0.039
AODDUST            0.001               0.001            -0.000         0.001
TREFHT           304.299             306.456            -2.156         2.285
TS               305.889             307.896            -2.007         2.246
TS_LAND          309.227             311.782            -2.555         3.154
U_200              4.142               1.666             2.476         3.082
VT_850             1.574               1.830            -0.256         1.055
Z3_500            59.640              60.032            -0.392         0.393
